年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,河北,理科,703分及以上,18,18
2019,河北,理科,702,3,21
2019,河北,理科,701,2,23
2019,河北,理科,700,4,27
2019,河北,理科,699,7,34
2019,河北,理科,698,2,36
2019,河北,理科,697,7,43
2019,河北,理科,696,8,51
2019,河北,理科,695,3,54
2019,河北,理科,694,7,61
2019,河北,理科,693,13,74
2019,河北,理科,692,4,78
2019,河北,理科,691,11,89
2019,河北,理科,690,14,103
2019,河北,理科,689,13,116
2019,河北,理科,688,15,131
2019,河北,理科,687,11,142
2019,河北,理科,686,23,165
2019,河北,理科,685,25,190
2019,河北,理科,684,29,219
2019,河北,理科,683,17,236
2019,河北,理科,682,24,260
2019,河北,理科,681,29,289
2019,河北,理科,680,36,325
2019,河北,理科,679,24,349
2019,河北,文科,678分及以上,13,13
2019,河北,理科,678,42,391
2019,河北,文科,677,2,15
2019,河北,理科,677,36,427
2019,河北,理科,676,37,464
2019,河北,文科,676,3,18
2019,河北,理科,675,40,504
2019,河北,文科,675,2,20
2019,河北,理科,674,40,544
2019,河北,文科,674,4,24
2019,河北,理科,673,44,588
2019,河北,文科,673,5,29
2019,河北,理科,672,46,634
2019,河北,文科,672,5,34
2019,河北,文科,671,4,38
2019,河北,理科,671,47,681
2019,河北,文科,670,4,42
2019,河北,理科,670,48,729
2019,河北,文科,669,13,55
2019,河北,理科,669,53,782
2019,河北,理科,668,65,847
2019,河北,文科,668,6,61
2019,河北,文科,667,12,73
2019,河北,理科,667,59,906
2019,河北,理科,666,62,968
2019,河北,文科,666,8,81
2019,河北,理科,665,59,1027
2019,河北,文科,665,11,92
2019,河北,文科,664,7,99
2019,河北,理科,664,66,1093
2019,河北,文科,663,7,106
2019,河北,理科,663,86,1179
2019,河北,文科,662,15,121
2019,河北,理科,662,87,1266
2019,河北,理科,661,89,1355
2019,河北,文科,661,12,133
2019,河北,理科,660,81,1436
2019,河北,文科,660,8,141
2019,河北,理科,659,93,1529
2019,河北,文科,659,17,158
2019,河北,文科,658,19,177
2019,河北,理科,658,97,1626
2019,河北,理科,657,110,1736
2019,河北,文科,657,19,196
2019,河北,理科,656,104,1840
2019,河北,文科,656,9,205
2019,河北,文科,655,20,225
2019,河北,理科,655,85,1925
2019,河北,文科,654,24,249
2019,河北,理科,654,107,2032
2019,河北,文科,653,23,272
2019,河北,理科,653,112,2144
2019,河北,文科,652,24,296
2019,河北,理科,652,116,2260
2019,河北,文科,651,23,319
2019,河北,文科,651,23,319
2019,河北,文科,650,13,332
2019,河北,理科,650,153,2531
2019,河北,理科,649,149,2680
2019,河北,文科,649,24,356
2019,河北,文科,648,24,380
2019,河北,理科,648,112,2792
2019,河北,文科,647,27,407
2019,河北,理科,647,149,2941
2019,河北,理科,646,180,3121
2019,河北,文科,646,43,450
2019,河北,理科,645,150,3271
2019,河北,文科,645,31,481
2019,河北,文科,644,28,509
2019,河北,理科,644,173,3444
2019,河北,文科,643,38,547
2019,河北,理科,643,168,3612
2019,河北,理科,642,171,3783
2019,河北,文科,642,42,589
2019,河北,文科,641,36,625
2019,河北,理科,641,186,3969
2019,河北,理科,640,176,4145
2019,河北,文科,640,33,658
2019,河北,文科,639,38,696
2019,河北,理科,639,175,4320
2019,河北,理科,638,194,4514
2019,河北,文科,638,27,723
2019,河北,文科,637,35,758
2019,河北,理科,637,208,4722
2019,河北,理科,636,198,4920
2019,河北,文科,636,52,810
2019,河北,文科,635,36,846
2019,河北,理科,635,221,5141
2019,河北,理科,634,220,5361
2019,河北,文科,634,46,892
2019,河北,文科,633,58,950
2019,河北,理科,633,218,5579
2019,河北,理科,632,255,5834
2019,河北,文科,632,51,1001
2019,河北,文科,631,56,1057
2019,河北,文科,631,56,1057
2019,河北,理科,630,269,6333
2019,河北,文科,630,48,1105
2019,河北,理科,629,261,6594
2019,河北,文科,629,68,1173
2019,河北,理科,628,252,6846
2019,河北,文科,628,74,1247
2019,河北,理科,627,266,7112
2019,河北,文科,627,65,1312
2019,河北,理科,626,235,7347
2019,河北,文科,626,54,1366
2019,河北,理科,625,258,7605
2019,河北,文科,625,68,1434
2019,河北,理科,624,285,7890
2019,河北,文科,624,75,1509
2019,河北,理科,623,245,8135
2019,河北,文科,623,93,1602
2019,河北,理科,622,284,8419
2019,河北,文科,622,75,1677
2019,河北,文科,621,75,1752
2019,河北,理科,621,270,8689
2019,河北,文科,620,80,1832
2019,河北,理科,620,311,9000
2019,河北,文科,619,99,1931
2019,河北,理科,619,344,9344
2019,河北,文科,618,110,2041
2019,河北,理科,618,328,9672
2019,河北,文科,617,104,2145
2019,河北,理科,617,324,9996
2019,河北,文科,616,105,2250
2019,河北,理科,616,340,10336
2019,河北,文科,615,109,2359
2019,河北,理科,615,330,10666
2019,河北,文科,614,102,2461
2019,河北,理科,614,338,11004
2019,河北,文科,613,110,2571
2019,河北,理科,613,379,11383
2019,河北,文科,612,116,2687
2019,河北,理科,612,359,11742
2019,河北,理科,611,345,12087
2019,河北,文科,611,114,2801
2019,河北,理科,610,416,12503
2019,河北,文科,610,112,2913
2019,河北,理科,609,345,12848
2019,河北,文科,609,114,3027
2019,河北,理科,608,400,13248
2019,河北,文科,608,132,3159
2019,河北,理科,607,404,13652
2019,河北,文科,607,131,3290
2019,河北,理科,606,387,14039
2019,河北,文科,606,158,3448
2019,河北,理科,605,392,14431
2019,河北,文科,605,142,3590
2019,河北,理科,604,428,14859
2019,河北,文科,604,152,3742
2019,河北,理科,603,434,15293
2019,河北,文科,603,137,3879
2019,河北,理科,602,474,15767
2019,河北,文科,602,176,4055
2019,河北,理科,601,402,16169
2019,河北,文科,601,160,4215
2019,河北,文科,600,161,4376
2019,河北,理科,600,440,16609
2019,河北,理科,599,460,17069
2019,河北,文科,599,152,4528
2019,河北,理科,598,438,17507
2019,河北,文科,598,170,4698
2019,河北,理科,597,498,18005
2019,河北,文科,597,183,4881
2019,河北,文科,596,163,5044
2019,河北,理科,596,472,18477
2019,河北,理科,595,469,18946
2019,河北,文科,595,180,5224
2019,河北,理科,594,487,19433
2019,河北,文科,594,192,5416
2019,河北,文科,593,173,5589
2019,河北,理科,593,463,19896
2019,河北,理科,592,479,20375
2019,河北,文科,592,190,5779
2019,河北,理科,591,487,20862
2019,河北,理科,591,487,20862
2019,河北,文科,590,205,6190
2019,河北,理科,590,512,21374
2019,河北,文科,589,198,6388
2019,河北,理科,589,504,21878
2019,河北,文科,588,230,6618
2019,河北,理科,588,554,22432
2019,河北,文科,587,227,6845
2019,河北,理科,587,537,22969
2019,河北,文科,586,220,7065
2019,河北,理科,586,565,23534
2019,河北,文科,585,259,7324
2019,河北,理科,585,513,24047
2019,河北,文科,584,237,7561
2019,河北,理科,584,535,24582
2019,河北,文科,583,240,7801
2019,河北,理科,583,550,25132
2019,河北,文科,582,244,8045
2019,河北,理科,582,571,25703
2019,河北,文科,581,255,8300
2019,河北,文科,581,255,8300
2019,河北,理科,580,566,26824
2019,河北,文科,580,246,8546
2019,河北,理科,579,588,27412
2019,河北,文科,579,258,8804
2019,河北,理科,578,633,28045
2019,河北,文科,578,254,9058
2019,河北,理科,577,599,28644
2019,河北,文科,577,262,9320
2019,河北,理科,576,575,29219
2019,河北,文科,576,293,9613
2019,河北,理科,575,583,29802
2019,河北,文科,575,281,9894
2019,河北,理科,574,618,30420
2019,河北,文科,574,297,10191
2019,河北,理科,573,667,31087
2019,河北,文科,573,307,10498
2019,河北,理科,572,658,31745
2019,河北,文科,572,295,10793
2019,河北,文科,571,295,11088
2019,河北,文科,571,295,11088
2019,河北,理科,570,631,33029
2019,河北,文科,570,313,11401
2019,河北,理科,569,641,33670
2019,河北,文科,569,308,11709
2019,河北,理科,568,689,34359
2019,河北,文科,568,304,12013
2019,河北,理科,567,666,35025
2019,河北,文科,567,289,12302
2019,河北,理科,566,669,35694
2019,河北,文科,566,327,12629
2019,河北,理科,565,705,36399
2019,河北,文科,565,332,12961
2019,河北,理科,564,698,37097
2019,河北,文科,564,355,13316
2019,河北,理科,563,686,37783
2019,河北,文科,563,344,13660
2019,河北,理科,562,713,38496
2019,河北,文科,562,299,13959
2019,河北,文科,561,344,14303
2019,河北,文科,561,344,14303
2019,河北,理科,560,746,39881
2019,河北,文科,560,350,14653
2019,河北,理科,559,779,40660
2019,河北,文科,559,365,15018
2019,河北,理科,558,744,41404
2019,河北,文科,558,351,15369
2019,河北,理科,557,737,42141
2019,河北,文科,557,362,15731
2019,河北,理科,556,671,42812
2019,河北,文科,556,345,16076
2019,河北,理科,555,681,43493
2019,河北,文科,555,351,16427
2019,河北,理科,554,699,44192
2019,河北,文科,554,424,16851
2019,河北,理科,553,712,44904
2019,河北,文科,553,372,17223
2019,河北,理科,552,686,45590
2019,河北,文科,552,412,17635
2019,河北,文科,551,386,18021
2019,河北,理科,551,776,46366
2019,河北,理科,550,739,47105
2019,河北,文科,550,395,18416
2019,河北,理科,549,728,47833
2019,河北,文科,549,413,18829
2019,河北,理科,548,745,48578
2019,河北,文科,548,376,19205
2019,河北,理科,547,746,49324
2019,河北,文科,547,394,19599
2019,河北,文科,546,390,19989
2019,河北,理科,546,782,50106
2019,河北,理科,545,798,50904
2019,河北,文科,545,409,20398
2019,河北,理科,544,823,51727
2019,河北,文科,544,411,20809
2019,河北,理科,543,767,52494
2019,河北,文科,543,392,21201
2019,河北,文科,542,407,21608
2019,河北,理科,542,785,53279
2019,河北,理科,541,764,54043
2019,河北,文科,541,408,22016
2019,河北,文科,540,416,22432
2019,河北,理科,540,813,54856
2019,河北,理科,539,816,55672
2019,河北,文科,539,396,22828
2019,河北,文科,538,472,23300
2019,河北,理科,538,892,56564
2019,河北,理科,537,867,57431
2019,河北,文科,537,462,23762
2019,河北,文科,536,445,24207
2019,河北,理科,536,807,58238
2019,河北,理科,535,841,59079
2019,河北,文科,535,448,24655
2019,河北,文科,534,408,25063
2019,河北,理科,534,813,59892
2019,河北,理科,533,854,60746
2019,河北,文科,533,435,25498
2019,河北,文科,532,411,25909
2019,河北,理科,532,817,61563
2019,河北,文科,531,450,26359
2019,河北,理科,531,822,62385
2019,河北,文科,530,463,26822
2019,河北,理科,530,816,63201
2019,河北,文科,529,434,27256
2019,河北,理科,529,846,64047
2019,河北,文科,528,439,27695
2019,河北,理科,528,847,64894
2019,河北,文科,527,490,28185
2019,河北,理科,527,843,65737
2019,河北,文科,526,492,28677
2019,河北,理科,526,845,66582
2019,河北,文科,525,450,29127
2019,河北,理科,525,855,67437
2019,河北,文科,524,492,29619
2019,河北,理科,524,845,68282
2019,河北,文科,523,452,30071
2019,河北,理科,523,853,69135
2019,河北,文科,522,503,30574
2019,河北,理科,522,847,69982
2019,河北,文科,521,463,31037
2019,河北,理科,521,884,70866
2019,河北,文科,520,436,31473
2019,河北,理科,520,860,71726
2019,河北,文科,519,491,31964
2019,河北,理科,519,867,72593
2019,河北,文科,518,498,32462
2019,河北,理科,518,941,73534
2019,河北,文科,517,447,32909
2019,河北,理科,517,853,74387
2019,河北,文科,516,483,33392
2019,河北,理科,516,857,75244
2019,河北,文科,515,484,33876
2019,河北,理科,515,901,76145
2019,河北,文科,514,472,34348
2019,河北,理科,514,952,77097
2019,河北,文科,513,507,34855
2019,河北,理科,513,923,78020
2019,河北,文科,512,495,35350
2019,河北,理科,512,939,78959
2019,河北,文科,511,491,35841
2019,河北,理科,511,869,79828
2019,河北,文科,510,496,36337
2019,河北,理科,510,914,80742
2019,河北,文科,509,492,36829
2019,河北,理科,509,908,81650
2019,河北,文科,508,473,37302
2019,河北,理科,508,888,82538
2019,河北,文科,507,508,37810
2019,河北,理科,507,941,83479
2019,河北,文科,506,463,38273
2019,河北,理科,506,942,84421
2019,河北,文科,505,530,38803
2019,河北,理科,505,914,85335
2019,河北,文科,504,486,39289
2019,河北,理科,504,918,86253
2019,河北,文科,503,461,39750
2019,河北,理科,503,910,87163
2019,河北,文科,502,503,40253
2019,河北,理科,502,888,88051
2019,河北,文科,501,520,40773
2019,河北,理科,501,872,88923
2019,河北,理科,500,929,89852
2019,河北,文科,500,522,41295
2019,河北,理科,499,882,90734
2019,河北,文科,499,514,41809
2019,河北,理科,498,912,91646
2019,河北,文科,498,458,42267
2019,河北,理科,497,912,92558
2019,河北,文科,497,520,42787
2019,河北,理科,496,943,93501
2019,河北,文科,496,497,43284
2019,河北,理科,495,933,94434
2019,河北,文科,495,491,43775
2019,河北,理科,494,977,95411
2019,河北,文科,494,503,44278
2019,河北,理科,493,927,96338
2019,河北,文科,493,469,44747
2019,河北,理科,492,909,97247
2019,河北,文科,492,450,45197
2019,河北,文科,491,508,45705
2019,河北,文科,491,508,45705
2019,河北,理科,490,900,99109
2019,河北,文科,490,484,46189
2019,河北,理科,489,906,100015
2019,河北,文科,489,494,46683
2019,河北,理科,488,910,100925
2019,河北,文科,488,508,47191
2019,河北,理科,487,912,101837
2019,河北,文科,487,532,47723
2019,河北,理科,486,965,102802
2019,河北,文科,486,505,48228
2019,河北,理科,485,994,103796
2019,河北,文科,485,542,48770
2019,河北,理科,484,892,104688
2019,河北,文科,484,504,49274
2019,河北,理科,483,910,105598
2019,河北,文科,483,546,49820
